2.49.68.140 - - [09/Aug/2023:00:41:55 +0300] "GET /images/tours/tour_5days_gudauri_2_500x300.jpg HTTP/1.1" 200 136787 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13; SM-G770F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/115.0.5790.139 Mobile Safari/537.36 GoogleApp/14.28.17.28.arm64"
85.114.138.220 - - [09/Aug/2023:00:46:35 +0300] "GET /xleet.php HTTP/1.1" 404 207 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:41 +0300] "GET /xl2023.php HTTP/1.1" 404 208 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:41 +0300] "GET /xxl.php HTTP/1.1" 404 205 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:42 +0300] "GET /xl2023x.php HTTP/1.1" 404 209 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:42 +0300] "GET /.well-known/acme-challenge/iR7SzrsOUEP.php HTTP/1.1" 404 240 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:47 +0300] "GET /wp-admin/includes/iR7SzrsOUEP.php HTTP/1.1" 404 231 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:48 +0300] "GET /wp-admin/maint/iR7SzrsOUEP.php HTTP/1.1" 404 228 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:49 +0300] "GET /wp-content/upgrade/iR7SzrsOUEP.php HTTP/1.1" 404 232 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:50 +0300] "GET /images/iR7SzrsOUEP.php HTTP/1.1" 404 220 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:50 +0300] "GET /wp-admin/user/iR7SzrsOUEP.php HTTP/1.1" 404 227 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:52 +0300] "GET /wp-admin/js/widgets/iR7SzrsOUEP.php HTTP/1.1" 404 233 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:55 +0300] "GET /wp-admin/network/iR7SzrsOUEP.php HTTP/1.1" 404 230 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:46:56 +0300] "GET /wp-admin/images/iR7SzrsOUEP.php HTTP/1.1" 404 229 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:00 +0300] "GET /.well-known/pki-validation/iR7SzrsOUEP.php HTTP/1.1" 404 240 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:00 +0300] "GET /lock360.php HTTP/1.1" 404 209 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:07 +0300] "GET /xleet-shell.php HTTP/1.1" 404 213 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:09 +0300] "GET /admin-heade.php HTTP/1.1" 404 213 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:11 +0300] "GET /cgi-bin/iR7SzrsOUEP.php HTTP/1.1" 404 221 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:12 +0300] "GET /wp-content//xl2023.php HTTP/1.1" 404 219 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:14 +0300] "GET /wp-content/uploads/2023/07/xl2023.php HTTP/1.1" 404 235 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:17 +0300] "GET /iR7SzrsOUEP.php HTTP/1.1" 404 213 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
85.114.138.220 - - [09/Aug/2023:00:47:18 +0300] "GET /wp-content/uploads/xl2023.php HTTP/1.1" 404 227 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
127.0.0.1 - - [09/Aug/2023:01:02:44 +0300] "GET /.well-known/acme-challenge/zzlopiqypj HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [09/Aug/2023:01:02:44 +0300] "GET /.well-known/acme-challenge/cxkaaxepis HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
109.166.79.218 - - [09/Aug/2023:01:18:13 +0300] "GET /images/cards/mtskheta_500x300.jpg HTTP/1.1" 200 79848 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13; SM-A725F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/115.0.5790.138 Mobile Safari/537.36 GoogleApp/14.26.21.28.arm64"
40.77.167.1 - - [09/Aug/2023:01:23:52 +0300] "GET /page/hotels.html HTTP/1.1" 200 18786 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:29 +0300] "GET /en/page/excursions.html HTTP/1.1" 200 39511 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/review-button.js HTTP/1.1" 200 1102 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/jquery/jquery.mask.min.js HTTP/1.1" 200 8185 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/jquery/jquery-ui.min.js HTTP/1.1" 200 253668 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/jquery/jquery.js HTTP/1.1" 200 293430 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/coolgeorgia.css HTTP/1.1" 200 7012 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/new-css.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/carousel/carousel.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/jquery/jquery-ui.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/fontello.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /cabinet/js/intlTelInput.js HTTP/1.1" 200 83682 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /js/lang-button.js HTTP/1.1" 200 661 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /cabinet/js/callback-button.js HTTP/1.1" 200 4306 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /cabinet/css/intlTelInput.css HTTP/1.1" 304 - "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/flags/rus.jpg HTTP/1.1" 200 917 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/call-mob.png HTTP/1.1" 200 7281 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/calendar.png HTTP/1.1" 200 27195 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/dollar-sign-and-piles-of-coins.png HTTP/1.1" 200 39182 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/mountain-road.png HTTP/1.1" 200 29050 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/2.png HTTP/1.1" 200 35782 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/flags/vel.jpg HTTP/1.1" 200 1202 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/flags/ua.png HTTP/1.1" 200 93 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/mtskheta_500x300.jpg HTTP/1.1" 200 79848 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/mtskheta_1/excursion_mtskheta_2_500x300.jpg HTTP/1.1" 200 114985 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/borjomi_500x300.jpg HTTP/1.1" 200 100538 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/kazbeg_500x300.jpg HTTP/1.1" 200 77290 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/tbilisi_500x300.jpg HTTP/1.1" 200 140254 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/kaheti_1_500x300.jpg HTTP/1.1" 200 65917 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/hareba_500x300.jpg HTTP/1.1" 200 62083 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/cards/ex_tbilisi_mtskheta_500x300.jpg HTTP/1.1" 200 95828 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/Gray_CoolGeorgiaIcons_language.png HTTP/1.1" 200 5946 "https://coolgeorgia.com/css/coolgeorgia.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/heart.png HTTP/1.1" 200 547 "https://coolgeorgia.com/css/coolgeorgia.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/ex_gudauri_3_500x300.jpg HTTP/1.1" 200 84971 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/maps/europeans_1_500x300.jpg HTTP/1.1" 200 128034 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/armenia/new_ex_armenia_0_500x300.png HTTP/1.1" 200 261000 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/david_gareja/david_gareja_3_500x300.jpg HTTP/1.1" 200 93019 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/ex_bakuriani_500x300.jpg HTTP/1.1" 200 96398 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /images/excoursions/rafting01_1.jpg HTTP/1.1" 200 162497 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/font/fontello2/fontello.woff2?81505323 HTTP/1.1" 200 3880 "https://coolgeorgia.com/css/fontello.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:01:59:30 +0300] "GET /css/font/fontello1/fontello.woff?96615590 HTTP/1.1" 200 5332 "https://coolgeorgia.com/css/fontello.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:02:00:14 +0300] "GET /en/page/rafting-in-georgia.html HTTP/1.1" 200 26454 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
178.43.251.85 - - [09/Aug/2023:02:00:14 +0300] "GET /images/excoursions/rafting02.jpg HTTP/1.1" 200 78688 "https://coolgeorgia.com/en/page/rafting-in-georgia.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
