54.36.148.179 - - [13/Aug/2023:00:44:18 +0300] "GET /page/individual-tours.html HTTP/1.1" 200 30114 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
185.115.6.127 - - [13/Aug/2023:00:56:15 +0300] "GET /images/cards/mtskheta_500x300.jpg HTTP/1.1" 200 79848 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1"
127.0.0.1 - - [13/Aug/2023:00:58:53 +0300] "GET /.well-known/acme-challenge/kcmezmeweb HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [13/Aug/2023:00:58:53 +0300] "GET /.well-known/acme-challenge/qfdsbzbjln HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
40.77.167.241 - - [13/Aug/2023:01:16:09 +0300] "GET /page/tour-tbilisi-batumi-7-days.html HTTP/1.1" 200 42605 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
54.36.148.117 - - [13/Aug/2023:01:43:05 +0300] "GET /en/page/individual-tours.html HTTP/1.1" 200 27392 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
173.252.83.118 - - [13/Aug/2023:01:47:35 +0300] "GET /images/excoursions/david_gareja/david_gareja_2_500x300.jpg HTTP/1.1" 200 87906 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
127.0.0.1 - - [13/Aug/2023:02:05:02 +0300] "GET /.well-known/acme-challenge/nqwtmuxtyf HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [13/Aug/2023:02:05:02 +0300] "GET /.well-known/acme-challenge/mkgqqgiylw HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
85.208.98.53 - - [13/Aug/2023:02:16:51 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Apache-HttpClient/4.5.3 (Java/11.0.11)"
85.208.98.53 - - [13/Aug/2023:02:16:52 +0300] "GET /page/wedding-in-georgia.html HTTP/1.1" 200 25640 "-" "Mozilla/5.0 (compatible; SemrushBot-SI/0.97; +http://www.semrush.com/bot.html)"
66.249.66.44 - - [13/Aug/2023:02:19:52 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.44 - - [13/Aug/2023:02:19:52 +0300] "GET /page/about-us.html HTTP/1.1" 200 31363 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.45 - - [13/Aug/2023:02:19:55 +0300] "GET /cabinet/js/callback-button.js HTTP/1.1" 200 4306 "https://coolgeorgia.com/page/about-us.html" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/114.0.5735.179 Safari/537.36"
64.225.49.141 - - [13/Aug/2023:02:37:47 +0300] "GET /admin HTTP/1.1" 404 196 "-" "python-requests/2.25.1"
