5.104.84.227 - - [30/Aug/2023:00:51:46 +0300] "GET /.env HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
143.42.76.145 - - [30/Aug/2023:00:52:06 +0300] "GET /.well-known/pki-validation/xmrlpc.php?p= HTTP/1.1" 404 235 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:10 +0300] "GET /wp-includes/js/tinymce/skins/lightgray/img/index.php?p= HTTP/1.1" 404 250 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:15 +0300] "GET /.well-known/acme-challenge/xmrlpc.php?p= HTTP/1.1" 404 235 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:16 +0300] "GET /wp-admin/network/xmrlpc.php?p= HTTP/1.1" 404 225 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:17 +0300] "GET /xmrlpc.php?p= HTTP/1.1" 404 208 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:19 +0300] "GET /cgi-bin/xmrlpc.php?p= HTTP/1.1" 404 216 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:20 +0300] "GET /css/xmrlpc.php?p= HTTP/1.1" 404 212 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:21 +0300] "GET /wp-admin/user/xmrlpc.php?p= HTTP/1.1" 404 222 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:22 +0300] "GET /img/xmrlpc.php?p= HTTP/1.1" 404 212 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
143.42.76.145 - - [30/Aug/2023:00:52:23 +0300] "GET /wp-admin/css/colors/coffee/xmrlpc.php?p= HTTP/1.1" 404 235 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
